station_id,County,Community,Functional Class,Rural Urban,On,From,To,Approach,At,Dir,directions,Category,LRS ID,LRS Loc Pt,latitude,longitude,Latest,Latest Date
632,Aitkin,Tamarack,Other Principal Arterial,R,MN 210,,,EAST OF,CSAH 6 (MAIN ST),2-WAY,EB/WB,Two-Way Roadway,0300000000000210-I,184.5942676,46.64431203,-93.11950479,2386,10/31/2025
6361,-,Winona,Minor Arterial,U,MN 43,,,NE OF,MSAS101 (2ND ST) IN WINONA,2-WAY,NB/SB,Two-Way Roadway,0300000000000043-I,45.0332704,44.06280671,-91.63703414,10172,11/24/2025
6461,Wright,-,Interstate,U,I 94,,,WEST OF,MN 25,2-WAY,EB/WB,Two-Way Roadway,0100000000000094-I,193.6929171,45.29992093,-93.80759979,40957,11/11/2025
6723,Polk,-,Minor Arterial,R,US 75,,,NORTH OF,"CSAH23 (40TH AVE NW), SE OF WARREN",2-WAY,NB/SB,Two-Way Roadway,0200000000000075-I,344.0028707,48.1027668,-96.7161713,471,11/23/2025
6725,Polk,-,Other Principal Arterial,R,US 2,,,WEST OF,"CSAH20, W OF BAGLEY",2-WAY,EB/WB,Two-Way Roadway,0200000000000002-I,77.1733659,47.5278383,-95.6338191,3418,10/20/2025
6726,Beltrami,-,Other Principal Arterial,R,US 71,,,EAST OF,CR 302 (ONE MILE RD NE),2-WAY,NB/SB,Two-Way Roadway,0200000000000071-I,340.2879249,47.744891,-94.526736,1342,11/21/2025
6727,Hubbard,-,Other Principal Arterial,R,US 71,,,SOUTH OF,CR 89,2-WAY,NB/SB,Two-Way Roadway,0200000000000071-I,275.5906834,47.1088006,-95.1512363,1535,11/23/2025
6728,Hubbard,-,Other Principal Arterial,R,MN 34,,,NE OF,"CSAH2 (BUNYAN TRAILS RD), NE OF NEVIS",2-WAY,NB/SB,Two-Way Roadway,0300000000000034-I,87.9086177,46.97500955,-94.81956253,1524,11/22/2025
6733,Clay,-,Other Principal Arterial,R,US 10,,,WEST OF,"CR68 (90TH ST S), W OF GLYNDON",2-WAY,EB/WB,Two-Way Roadway,0200000000000010-I,7.70209,46.876772,-96.61594,16938,1/1/2024
6734,Otter Tail,-,Interstate,R,I 94,,,,MN 210,2-WAY,NW/SE,Two-Way Roadway,0100000000000094-I,61.4910037,46.2102587,-96.0230069,15487,10/31/2025
